username,statement_attitude_324,argument_rating_325,statement_attitude_325,argument_rating_326,statement_attitude_326,argument_rating_327,statement_attitude_327,argument_rating_328,statement_attitude_328,argument_rating_329,statement_attitude_329,argument_rating_330,statement_attitude_330,argument_rating_331,statement_attitude_331,argument_rating_332,statement_attitude_332,argument_rating_333,statement_attitude_333,argument_rating_334,statement_attitude_334,argument_rating_335,statement_attitude_335,argument_rating_336,statement_attitude_336,argument_rating_337,statement_attitude_337,argument_rating_338,statement_attitude_338,argument_rating_339,statement_attitude_339,argument_rating_340,statement_attitude_340,argument_rating_341,statement_attitude_341,argument_rating_342,statement_attitude_342,argument_rating_343,statement_attitude_343,argument_rating_344,statement_attitude_344,argument_rating_345,statement_attitude_345,argument_rating_346,statement_attitude_346,argument_rating_347,statement_attitude_347,argument_rating_348,statement_attitude_348,argument_rating_349,statement_attitude_349,argument_rating_350,statement_attitude_350,argument_rating_351,statement_attitude_351,argument_rating_352,statement_attitude_352,argument_rating_353,statement_attitude_353,argument_rating_354,statement_attitude_354,argument_rating_355,statement_attitude_355,argument_rating_356,statement_attitude_356,argument_rating_357,statement_attitude_357,argument_rating_358,statement_attitude_358,argument_rating_359,statement_attitude_359,argument_rating_360,statement_attitude_360,argument_rating_361,statement_attitude_361,argument_rating_362,statement_attitude_362,statement_attitude_363,argument_rating_364,statement_attitude_364,argument_rating_365,statement_attitude_365,argument_rating_366,statement_attitude_366,argument_rating_367,statement_attitude_367,argument_rating_368,statement_attitude_368,argument_rating_369,statement_attitude_369,argument_rating_370,statement_attitude_370,argument_rating_371,statement_attitude_371,argument_rating_372,statement_attitude_372,argument_rating_373,statement_attitude_373,argument_rating_374,statement_attitude_374,argument_rating_375,statement_attitude_375,argument_rating_376,statement_attitude_376,argument_rating_377,statement_attitude_377,argument_rating_378,statement_attitude_378,argument_rating_379,statement_attitude_379,argument_rating_380,statement_attitude_380,argument_rating_381,statement_attitude_381,argument_rating_382,statement_attitude_382,argument_rating_383,statement_attitude_383,argument_rating_384,statement_attitude_384,argument_rating_385,statement_attitude_385,argument_rating_386,statement_attitude_386,argument_rating_387,statement_attitude_387,argument_rating_388,statement_attitude_388,argument_rating_389,statement_attitude_389,argument_rating_390,statement_attitude_390,argument_rating_391,statement_attitude_391,argument_rating_392,statement_attitude_392,argument_rating_393,statement_attitude_393,argument_rating_394,statement_attitude_394,argument_rating_395,statement_attitude_395,argument_rating_396,statement_attitude_396,argument_rating_398,statement_attitude_398,argument_rating_399,statement_attitude_399,position_rating_after_324,position_rating_after_363
upeki_pretest_2_113,1,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,1,,,,,3.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,4.0,1.0,,,,,,,6.0,1.0,,,2.0,1.0,,,,,,,,,,,3.0,0.0,,,3.0,1.0,,,,,,,,,,,3.0,1.0,,,2.0,1.0,6,6
upeki_pretest_2_114,1,,,,,,,,,,,6.0,0.0,,,,,,,,,5.0,0.0,,,,,,,5.0,0.0,,,,,5.0,1.0,,,,,,,,,,,2.0,0.0,,,2.0,0.0,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,,,1,,,,,,,5.0,1.0,6.0,1.0,,,6.0,1.0,,,,,2.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,2.0,0.0,,,,,3.0,0.0,,,,,1.0,0.0,,,,,,,,,,,,,,,3.0,0.0,,,3,5
upeki_pretest_2_115,1,,,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,5.0,0.0,5.0,1.0,,,,,,,,,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,1,,,,,,,,,6.0,1.0,,,,,6.0,1.0,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,6,5
upeki_pretest_2_117,1,,,6.0,1.0,,,,,,,,,,,,,,,,,,,6.0,1.0,,,6.0,1.0,,,6.0,1.0,6.0,1.0,,,4.0,1.0,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,1.0,0.0,,,,,1.0,1.0,,,0.0,0.0,,,1,,,,,,,6.0,1.0,,,,,,,,,,,,,6.0,1.0,,,3.0,0.0,,,,,5.0,1.0,3.0,0.0,,,2.0,0.0,,,2.0,0.0,,,,,,,2.0,0.0,,,,,2.0,0.0,,,,,3.0,0.0,,,,,,,,,5,4
upeki_pretest_2_118,1,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,,,6.0,1.0,,,,,,,6.0,1.0,6.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,1,6.0,1.0,,,,,,,,,,,6.0,1.0,,,,,6.0,1.0,6.0,1.0,,,,,,,,,6.0,1.0,,,,,,,0.0,1.0,,,,,0.0,1.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,6,6
upeki_pretest_2_119,1,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,6.0,1.0,6.0,1.0,,,,,,,0.0,0.0,,,0.0,0.0,,,,,1.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,,,,0.0,0.0,1,6.0,1.0,,,,,,,6.0,1.0,,,,,,,,,,,,,4.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,3.0,1.0,,,3.0,0.0,3.0,0.0,,,,,,,,,0.0,0.0,,,,,,,,,4.0,1.0,5,6
upeki_pretest_2_121,0,,,,,,,,,5.0,1.0,5.0,1.0,,,3.0,1.0,5.0,1.0,4.0,1.0,,,4.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,3.0,1.0,,,,,1,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,4.0,0.0,,,3.0,0.0,,,4.0,1.0,,,,,,,3.0,1.0,,,,,3.0,1.0,,,,,4,6
upeki_pretest_2_122,1,3.0,0.0,,,,,,,3.0,1.0,2.0,0.0,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,4.0,0.0,2.0,1.0,,,,,,,,,,,,,,,3.0,1.0,,,3.0,0.0,3.0,0.0,,,3.0,0.0,,,,,,,,,1,,,,,3.0,1.0,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,4.0,0.0,,,,,2.0,1.0,,,3.0,1.0,3.0,0.0,2.0,0.0,,,3.0,1.0,,,,,,,2,3
upeki_pretest_2_123,1,,,,,6.0,1.0,,,,,,,4.0,1.0,,,,,,,,,6.0,1.0,,,,,,,,,4.0,1.0,,,,,4.0,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,6.0,1.0,6.0,1.0,6.0,1.0,,,,,,,,,,,6.0,1.0,,,6.0,1.0,,,,,,,3.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,6.0,1.0,6,6
upeki_pretest_2_124,1,6.0,1.0,,,,,6.0,1.0,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,,,5.0,1.0,3.0,1.0,6.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,6.0,0.0,6.0,1.0,,,,,,,,,1,6.0,1.0,6.0,1.0,,,,,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,,4.0,0.0,,,,,5.0,0.0,1.0,0.0,,,,,,,,,6,6
upeki_pretest_2_125,1,,,,,,,,,6.0,0.0,,,6.0,1.0,,,6.0,0.0,,,,,6.0,1.0,,,,,,,,,3.0,1.0,,,,,0.0,0.0,,,,,,,6.0,1.0,,,,,6.0,0.0,,,,,,,6.0,1.0,6.0,0.0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,6.0,1.0,6.0,1.0,,,,,,,,,6.0,0.0,,,,,3.0,0.0,,,6.0,0.0,2.0,1.0,,,,,,,,,6.0,1.0,,,,,0.0,0.0,6.0,1.0,6,6
upeki_pretest_2_126,1,,,,,6.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,3.0,0.0,5.0,1.0,,,,,,,,,,,,,3.0,0.0,5.0,1.0,,,,,5.0,1.0,,,4.0,1.0,,,,,,,1.0,0.0,,,1,6.0,1.0,6.0,1.0,5.0,1.0,,,,,,,,,4.0,1.0,6.0,1.0,,,,,6.0,1.0,,,,,6.0,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,0,4
upeki_pretest_2_128,0,,,,,,,1.0,0.0,,,,,,,,,3.0,1.0,,,,,0.0,1.0,5.0,1.0,,,4.0,1.0,,,1.0,0.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,4.0,1.0,0,,,,,4.0,1.0,,,6.0,1.0,,,1.0,0.0,5.0,1.0,,,,,4.0,1.0,,,,,6.0,1.0,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,4,2
upeki_pretest_2_129,1,,,5.0,0.0,3.0,0.0,,,3.0,0.0,,,,,3.0,0.0,,,,,5.0,0.0,,,,,,,,,,,,,3.0,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,5.0,1.0,,,,,,,1,6.0,1.0,,,6.0,1.0,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,6.0,1.0,,,,,,,0.0,0.0,1.0,0.0,,,,,,,,,2.0,0.0,,,,,,,0.0,0.0,,,,,,,,,,,5,6
upeki_pretest_2_133,1,,,4.0,1.0,,,,,,,,,4.0,1.0,,,,,3.0,1.0,,,4.0,1.0,,,,,4.0,1.0,,,,,,,,,,,4.0,1.0,,,5.0,1.0,,,,,4.0,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,4.0,1.0,,,1,,,,,6.0,1.0,,,,,,,6.0,1.0,,,,,,,6.0,1.0,,,,,,,6.0,1.0,,,,,,,,,5.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,5.0,1.0,,,,,5.0,1.0,,,,,5,6
upeki_pretest_2_134,1,,,,,,,5.0,1.0,,,,,4.0,1.0,,,4.0,1.0,,,6.0,1.0,,,,,6.0,1.0,,,,,,,5.0,1.0,,,,,,,,,,,0.0,0.0,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,1.0,0.0,,,1,6.0,1.0,,,,,,,,,6.0,1.0,,,,,5.0,0.0,,,,,,,6.0,1.0,,,,,,,,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,0.0,0.0,,,,,4.0,1.0,6,4
upeki_pretest_2_135,1,,,6.0,1.0,,,,,5.0,1.0,,,,,1.0,0.0,,,,,,,,,2.0,0.0,,,,,,,,,5.0,1.0,,,,,,,,,,,1.0,0.0,,,,,,,,,2.0,0.0,6.0,1.0,,,,,,,,,,,,,,,2.0,0.0,1,,,,,6.0,1.0,6.0,1.0,6.0,1.0,,,6.0,1.0,,,,,,,5.0,1.0,4.0,1.0,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,1.0,0.0,,,,,,,,,3,4
upeki_pretest_2_137,1,,,,,,,,,,,,,4.0,1.0,,,,,5.0,1.0,,,,,,,5.0,1.0,,,,,,,5.0,1.0,3.0,1.0,3.0,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,3.0,1.0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,3.0,1.0,5.0,1.0,,,4.0,1.0,4.0,1.0,,,,,,,,,4.0,1.0,6.0,1.0,,,,,,,2.0,0.0,3,4
upeki_pretest_2_138,1,,,,,,,,,,,,,3.0,1.0,,,,,5.0,1.0,,,,,,,,,,,,,,,,,4.0,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,,,,,3.0,1.0,1,,,,,,,,,,,,,5.0,1.0,,,,,,,5.0,1.0,5.0,1.0,,,5.0,1.0,,,,,,,,,,,,,1.0,0.0,1.0,0.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,5.0,1.0,5,5
upeki_pretest_2_139,0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,3.0,0.0,,,,,0.0,0.0,,,,,6.0,0.0,5.0,1.0,,,,,1.0,0.0,,,,,,,,,6.0,1.0,,,,,,,1.0,0.0,3.0,1.0,,,,,,,,,,,1,,,,,,,6.0,1.0,6.0,1.0,5.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,6.0,1.0,2,6
upeki_pretest_2_140,0,,,4.0,1.0,,,,,2.0,0.0,,,,,4.0,0.0,,,3.0,0.0,,,,,,,5.0,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,6.0,1.0,5.0,1.0,,,,,6.0,1.0,,,,,,,,,1,6.0,1.0,,,6.0,1.0,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,0.0,0.0,,,,,,,6.0,1.0,,,,,6.0,1.0,,,,,6.0,1.0,6.0,1.0,,,,,,,,,,,,,4,6
upeki_pretest_2_142,1,,,,,,,5.0,0.0,,,4.0,1.0,,,5.0,1.0,,,4.0,1.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,,,,,,,2.0,0.0,1.0,0.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,1,,,,,,,,,4.0,1.0,3.0,0.0,,,,,3.0,0.0,,,,,1.0,0.0,,,,,,,,,0.0,0.0,,,,,4.0,1.0,,,,,,,,,,,,,,,3.0,0.0,,,,,,,,,,,5.0,1.0,3.0,0.0,5,5
upeki_pretest_2_143,0,,,,,,,,,3.0,0.0,,,3.0,1.0,,,,,,,3.0,1.0,,,,,,,3.0,0.0,3.0,0.0,,,,,,,,,,,3.0,1.0,,,6.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,3.0,1.0,3.0,1.0,,,,,1,,,,,,,,,,,3.0,1.0,,,,,,,,,3.0,0.0,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,,,3.0,0.0,,,3.0,0.0,3.0,1.0,,,6,6
upeki_pretest_2_144,1,,,,,6.0,0.0,,,,,,,,,,,,,,,6.0,0.0,,,,,,,6.0,0.0,,,,,6.0,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,0.0,,,,,,,0.0,0.0,1,6.0,1.0,,,6.0,1.0,,,,,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,2.0,1.0,,,,,1.0,1.0,,,6,6
upeki_pretest_2_145,1,,,2.0,0.0,,,,,,,,,2.0,0.0,,,,,,,,,4.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4.0,1.0,3.0,1.0,,,3.0,1.0,4.0,1.0,,,,,,,,,1,,,,,,,4.0,1.0,,,,,,,4.0,1.0,,,3.0,0.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,3.0,1.0,,,4.0,1.0,,,1.0,0.0,4.0,1.0,2,1
upeki_pretest_2_146,0,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,5.0,1.0,2.0,1.0,,,4.0,0.0,3.0,0.0,,,,,,,,,4.0,0.0,5.0,1.0,,,,,3.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,,4.0,1.0,,,1,6.0,1.0,,,6.0,1.0,,,6.0,1.0,,,,,,,5.0,1.0,2.0,0.0,,,,,4.0,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,,,,,,,,1.0,0.0,,,,,,,4,5
upeki_pretest_2_147,1,,,3.0,1.0,,,,,3.0,1.0,,,,,3.0,1.0,,,,,,,4.0,1.0,,,3.0,1.0,3.0,1.0,,,,,,,3.0,1.0,,,,,,,,,,,3.0,1.0,,,,,,,,,,,3.0,1.0,,,,,,,3.0,0.0,,,,,,,0,4.0,1.0,,,,,6.0,1.0,,,4.0,1.0,,,,,,,,,,,,,5.0,1.0,,,,,,,5.0,1.0,,,4.0,1.0,,,,,3.0,1.0,,,,,,,,,,,,,3.0,1.0,,,,,,,3.0,0.0,,,,,5,3
upeki_pretest_2_148,0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,6.0,1.0,,,6.0,1.0,,,,,,,,,6.0,1.0,,,,,0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,6.0,1.0,,,6.0,1.0,,,,,6.0,1.0,,,,,,,,,6.0,1.0,6.0,1.0,,,,,,,,,,,,,6,6
upeki_pretest_2_149,1,3.0,0.0,,,6.0,1.0,,,,,,,,,4.0,1.0,,,6.0,1.0,5.0,1.0,,,,,5.0,1.0,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,,2.0,0.0,,,,,,,,,,,,,,,1,,,,,,,5.0,1.0,,,,,,,,,,,4.0,1.0,,,,,,,,,,,6.0,1.0,,,,,,,,,1.0,0.0,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,,,6,5
upeki_pretest_2_151,1,,,,,3.0,0.0,,,,,,,,,,,,,,,3.0,0.0,,,3.0,0.0,,,,,,,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,,,,,3.0,0.0,3.0,0.0,,,3.0,0.0,,,0.0,0.0,1,3.0,0.0,,,,,,,,,,,,,3.0,1.0,,,3.0,1.0,,,,,3.0,0.0,,,,,,,,,3.0,0.0,,,,,,,,,,,3.0,0.0,,,,,,,,,,,,,,,3.0,0.0,,,,,,,6,6
upeki_pretest_2_152,1,,,,,,,,,,,,,,,,,3.0,0.0,,,,,3.0,1.0,,,,,,,,,3.0,1.0,,,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,,,,,,,1,,,,,,,,,,,0.0,1.0,,,5.0,1.0,,,0.0,1.0,6.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,,,,,,,3,6
